epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,14099.4,0.50902,0.48773,1.02918,0.72927,0.83423,0.7515,0.71787,0.30904,0.25155,0.87207,0.00593374,0.00593374,0.00593374
63,14312.2,0.50023,0.47873,1.03172,0.73094,0.8342,0.77453,0.74137,0.30871,0.2519,0.87369,0.00586708,0.00586708,0.00586708
64,14525.7,0.50203,0.48796,1.02828,0.73433,0.83172,0.77334,0.7407,0.30803,0.25268,0.8729,0.00580042,0.00580042,0.00580042
65,14738.6,0.49857,0.4778,1.02071,0.73341,0.84945,0.7763,0.74189,0.30807,0.25065,0.87198,0.00573376,0.00573376,0.00573376
66,14952.2,0.50276,0.48221,1.03088,0.73177,0.85694,0.77771,0.74275,0.30731,0.24975,0.87139,0.0056671,0.0056671,0.0056671
67,15165.3,0.49603,0.47103,1.02685,0.73605,0.8528,0.76042,0.7259,0.30636,0.24951,0.87143,0.00560044,0.00560044,0.00560044
68,15379.7,0.49678,0.47656,1.02658,0.73284,0.85538,0.7577,0.72465,0.30598,0.24975,0.87123,0.00553378,0.00553378,0.00553378
69,15593.3,0.49651,0.46893,1.02547,0.73511,0.85538,0.75609,0.72367,0.30522,0.24986,0.86997,0.00546712,0.00546712,0.00546712
70,15806.7,0.49324,0.46324,1.02302,0.73722,0.87508,0.77349,0.74155,0.30492,0.24891,0.87003,0.00540046,0.00540046,0.00540046
71,16020,0.49593,0.46584,1.02633,0.73509,0.87339,0.77378,0.742,0.30431,0.24852,0.87048,0.0053338,0.0053338,0.0053338
72,16232.9,0.48932,0.46649,1.02492,0.73065,0.8778,0.77517,0.74194,0.30417,0.24868,0.87135,0.00526714,0.00526714,0.00526714
73,16446.6,0.49003,0.45616,1.02225,0.7301,0.85712,0.77455,0.74148,0.30394,0.24761,0.87224,0.00520048,0.00520048,0.00520048
74,16659.7,0.48634,0.46237,1.02067,0.7298,0.85905,0.7724,0.7405,0.30388,0.24709,0.87258,0.00513382,0.00513382,0.00513382
75,16873.7,0.48751,0.45659,1.01975,0.72732,0.86026,0.77179,0.74007,0.30306,0.24579,0.87165,0.00506716,0.00506716,0.00506716
76,17086.8,0.48511,0.44635,1.02203,0.72508,0.86144,0.77473,0.7417,0.3026,0.24567,0.87162,0.0050005,0.0050005,0.0050005
77,17299.8,0.4813,0.44739,1.01811,0.73246,0.83707,0.75743,0.72454,0.30244,0.24555,0.87193,0.00493384,0.00493384,0.00493384
78,17513.2,0.48329,0.44468,1.01556,0.73137,0.83631,0.75743,0.72438,0.30234,0.24467,0.87204,0.00486718,0.00486718,0.00486718
79,17725.9,0.48077,0.44263,1.01687,0.72867,0.86036,0.7745,0.74161,0.30207,0.24351,0.8716,0.00480052,0.00480052,0.00480052
