epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,21846.2,0.36829,0.27666,0.93572,0.7313,0.81559,0.77251,0.74131,0.30887,0.25882,0.89082,0.00241,0.00241,0.00241
117,22033.1,0.36565,0.27288,0.93354,0.7314,0.81572,0.77253,0.74142,0.30897,0.2585,0.89088,0.002344,0.002344,0.002344
118,22219.6,0.3646,0.27301,0.93284,0.73189,0.81578,0.77256,0.74143,0.30903,0.25832,0.89082,0.002278,0.002278,0.002278
119,22408.6,0.36332,0.27036,0.93415,0.73179,0.8152,0.77261,0.74147,0.30875,0.25812,0.89047,0.002212,0.002212,0.002212
120,22597.1,0.36122,0.26703,0.93264,0.73171,0.8152,0.7726,0.74143,0.3086,0.25799,0.89023,0.002146,0.002146,0.002146
121,22784.8,0.35747,0.2652,0.93021,0.73146,0.81525,0.77254,0.74146,0.30858,0.25804,0.89011,0.00208,0.00208,0.00208
122,22970.6,0.356,0.26307,0.92885,0.73116,0.81546,0.77252,0.7414,0.30859,0.25808,0.89006,0.002014,0.002014,0.002014
123,23154.2,0.35434,0.26269,0.92956,0.73086,0.81508,0.77253,0.74153,0.30852,0.25784,0.89,0.001948,0.001948,0.001948
124,23341.5,0.35169,0.25932,0.9281,0.73039,0.81458,0.77258,0.74171,0.30849,0.25759,0.89003,0.001882,0.001882,0.001882
125,23527,0.35545,0.26129,0.93206,0.73064,0.81385,0.77271,0.74175,0.30844,0.2573,0.88997,0.001816,0.001816,0.001816
126,23715,0.35458,0.26034,0.93011,0.73078,0.81394,0.77267,0.74168,0.30802,0.25735,0.88965,0.00175,0.00175,0.00175
127,23903.1,0.34773,0.25425,0.92675,0.73078,0.81352,0.77263,0.7417,0.3081,0.25731,0.88972,0.001684,0.001684,0.001684
